node	Country
ROOT	Africa
node_1	Africa
node_2	Africa
node_3	Africa
node_4	Africa
00CZAY4286	EastEurope
node_5	Africa
97CDAF6238	Africa
94CYAF6237	WestEurope
97CDAF6240	Africa
node_6	WestEurope
node_7	Africa
node_8	Africa
03ESAY2109	WestEurope
03ESAY2098	WestEurope
85UGM62320	Africa
node_9	Africa
node_10	Africa
node_11	Africa
node_12	Africa
node_18	Africa
node_19	EastEurope
99SEAY5206	WestEurope
node_14	Africa
node_15	Africa
node_16	Africa
00GAAJ3391	Africa
node_17	Africa
node_25	Greece
node_26	Africa
00CZAY4248	EastEurope
node_27	EastEurope
99SDAY2494	Africa
90UGAF7846	Africa
node_28	Africa
node_21	Africa
node_22	Africa
00KEAF7081	Africa
node_23	Africa
98CMAJ6934	Africa
node_24	Africa
node_32	Greece
node_33	Greece
00SEAY5240	WestEurope
node_34	Africa
node_35	EastEurope
node_36	EastEurope
99UGAF4478	Africa
node_37	Africa
99ESAY7467	WestEurope
node_29	Africa
97CMAJ6931	Africa
node_30	Africa
98SDAY2482	Africa
node_40	Africa
node_41	Africa
00GAAJ3398	Africa
03ESAY2099	WestEurope
node_43	WestEurope
03ESAY2111	WestEurope
00GRAF5753	Greece
02GRAY0270	Greece
97YUAF9960	EastEurope
98CMAJ6932	Africa
node_44	Africa
00CZAY4362	EastEurope
00CZAY4336	EastEurope
00CZAY4296	EastEurope
00UAAF3968	EastEurope
97BYAF3275	EastEurope
node_54	EastEurope
00KEAF7083	Africa
node_47	Africa
node_38	Greece
node_39	Africa
97CMAJ6930	Africa
92UGAB8332	Africa
node_50	Africa
node_51	Africa
node_52	Africa
node_53	Africa
98FRAJ0552	WestEurope
97FRAJ0558	WestEurope
98CMAJ6933	Africa
96CMAJ6134	Africa
02SIAJ1139	EastEurope
node_64	EastEurope
00KEAF7079	Africa
node_55	Africa
02GRAY0300	Greece
02GRAY0299	Greece
node_48	Greece
node_49	Africa
98UGAF4507	Africa
node_58	WestEurope
95SEAF7771	WestEurope
node_67	Africa
node_68	Africa
node_60	WestEurope
node_69	Africa
node_70	Africa
node_63	Africa
01TZAY3305	Africa
node_71	Africa
03RUAY0393	EastEurope
02GRAY0302	Greece
95SEAF9673	WestEurope
node_65	Africa
99ESAY7468	WestEurope
02GRAY0303	Greece
node_56	Africa
node_57	Africa
94SEAF9670	WestEurope
node_66	WestEurope
node_74	Africa
00KEAF7089	Africa
91UGAF7368	Africa
99KEAF7063	Africa
00KEAF7055	Africa
94SEAF9671	WestEurope
99BEAF8999	WestEurope
node_76	Africa
node_77	Africa
01TZAY3314	Africa
00SEAY5249	WestEurope
00KEAF7086	Africa
node_79	Africa
node_80	Greece
01TZAY3306	Africa
node_78	Africa
98UGAF4508	Africa
98UGAF4509	Africa
96SNAY1630	Africa
01SNAY1629	Africa
01SNAY1631	Africa
99DEAF7536	WestEurope
00ITAY0121	WestEurope
node_73	WestEurope
92UGU51190	Africa
99UGAF4493	Africa
00KEAF7068	Africa
97TZAF1872	Africa
00KEAF7084	Africa
node_81	Africa
95SEAF9669	WestEurope
02GRAY0290	Greece
node_83	Greece
02GRAY0283	Greece
node_86	Greece
99KEAF7065	Africa
02GRAY0287	Greece
98ITAF5286	WestEurope
98ITAF5285	WestEurope
node_84	Africa
node_85	Africa
node_87	Greece
node_92	Greece
node_93	Albania
02GRAY0291	Greece
00GRAY6884	Greece
00KEAF7070	Africa
00KEAF7053	Africa
node_89	Africa
node_90	Africa
02GRAY0295	Greece
node_91	Greece
node_99	Greece
02GRAY0297	Greece
node_105	Greece
node_100	Albania
node_115	Albania
node_125	Albania
node_126	Albania
node_117	Albania
node_118	Albania
node_94	Africa
node_95	Africa
00KEAF7077	Africa
93RWAY3406	Africa
node_96	Greece
node_97	Greece
02GRAY0275	Greece
node_112	Greece
node_122	Greece
node_123	Greece
02GRAY0274	Greece
02GRAY0273	Greece
node_107	Albania
01ALAY1656	Albania
02ALAY1658	Albania
03ALAY1707	Albania
01ALAY1692	Albania
node_138	Albania
node_139	Albania
00ALAY1714	Albania
02ALAY1696	Albania
97ALAY1664	Albania
node_133	Albania
01ALAY1689	Albania
03ALAY1703	Albania
03ALAY1706	Albania
node_127	Albania
node_102	Africa
node_103	Africa
98UGAF4512	Africa
node_104	Africa
02GRAY0282	Greece
02GRAY0281	Greece
02GRAY0294	Greece
02GRAY0272	Greece
node_120	Greece
node_121	Greece
02GRAY0289	Greece
02GRAY0288	Greece
node_130	Greece
node_131	Greece
01ALAY1690	Albania
node_114	Albania
01ALAY1654	Albania
02ALAY1659	Albania
node_146	Albania
